id,delivery_id,invoice_number,invoice_date,due_date,total_amount,status
91150196,80738061,INV-91150196,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,179.66,paid
91150197,80738060,INV-91150197,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,216.1,paid
91150198,80738059,INV-91150198,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,253.39,paid
91150199,80738058,INV-91150199,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,449.24,paid
91150200,80738057,INV-91150200,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,185.59,paid
91150201,80738056,INV-91150201,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,215.25,paid
91150202,80738055,INV-91150202,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,253.39,paid
91150203,80738054,INV-91150203,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
91150204,80738053,INV-91150204,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,329.66,paid
91150205,80738052,INV-91150205,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
91150206,80738051,INV-91150206,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,253.39,paid
91150207,80738050,INV-91150207,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,329.66,paid
91150208,80738049,INV-91150208,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
91150209,80738048,INV-91150209,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
91150210,80738047,INV-91150210,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,272.88,paid
91150211,80738046,INV-91150211,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
91150212,80738045,INV-91150212,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
91150213,80738044,INV-91150213,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
91150214,80738043,INV-91150214,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,249.15,paid
91150215,80738042,INV-91150215,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,250,paid
91150216,80738041,INV-91150216,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,221.19,paid
91150217,80738040,INV-91150217,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,229.66,paid
90504248,80738072,INV-90504248,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,216.1,paid
90628265,80754575,INV-90628265,2025-05-09T00:00:00.000Z,2025-04-30T00:00:00.000Z,245.9,paid
90628266,80754576,INV-90628266,2025-05-09T00:00:00.000Z,2025-04-30T00:00:00.000Z,287.9,paid
90504274,80738091,INV-90504274,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,253.39,paid
90504242,80738068,INV-90504242,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,151.69,paid
90504239,80738066,INV-90504239,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,253.39,paid
90504230,80738059,INV-90504230,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,253.39,paid
90504225,80738055,INV-90504225,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,253.39,paid
90504219,80738051,INV-90504219,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,253.39,paid
90504267,80738086,INV-90504267,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,337.29,paid
90504237,80738064,INV-90504237,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,168.64,paid
90678703,80754606,INV-90678703,2025-05-16T00:00:00.000Z,2025-05-16T00:00:00.000Z,589.95,paid
90678702,80754605,INV-90678702,2025-05-16T00:00:00.000Z,2025-05-16T00:00:00.000Z,299,paid
